Element,Name,Analysis,Setpoint,Unit,"Warning level",Group
Al,Aluminium,.00,"0 - 60",µg/l,,"Unwanted heavy metals"
Sb,Antimony,.00,0,µg/l,,"Unwanted heavy metals"
As,Arsenic,.00,0,µg/l,,"Unwanted heavy metals"
Pb,Lead,.00,0,µg/l,,"Unwanted heavy metals"
Cd,Cadmium,.00,0,µg/l,,"Unwanted heavy metals"
Cu,Copper,.00,0,µg/l,,"Unwanted heavy metals"
La,Lanthanum,.00,0,µg/l,,"Unwanted heavy metals"
Hg,Mercury,.00,0,µg/l,,"Unwanted heavy metals"
Sc,Scandium,.00,0,µg/l,,"Unwanted heavy metals"
Se,Selenium,.00,0,µg/l,,"Unwanted heavy metals"
Ti,Titanium,.00,0,µg/l,,"Unwanted heavy metals"
W,Tungsten,18.00,0,µg/l,yellow,"Unwanted heavy metals"
Sn,Tin,.00,0,µg/l,,"Unwanted heavy metals"
Cl,Chloride,19888.00,19500,mg/l,,Macro-Elements
Na,Sodium,10981.00,"10000 - 11300",mg/l,,Macro-Elements
Ca,Calcium,422.00,"415 - 520",mg/l,,Macro-Elements
Mg,Magnesium,1363.00,"1320 - 1500",mg/l,,Macro-Elements
K,Potassium,429.00,"380 - 480",mg/l,,Macro-Elements
Br,Bromide,68.00,64,mg/l,,Macro-Elements
B,Boron,5.00,4.5,mg/l,,Macro-Elements
F,Fluoride,.85,1.3,mg/l,,Macro-Elements
Sr,Strontium,10.00,"8 - 12",mg/l,,Macro-Elements
S,Sulphur,919.00,900,mg/l,,Macro-Elements
Li,Lithium,193.00,200,µg/l,,Li-Group
Ni,Nickel,.00,5,µg/l,,Li-Group
Mo,Molybdenum,10.00,12,µg/l,,Li-Group
V,Vanadium,.00,"0 - 3",µg/l,,I-Group
Zn,Zinc,.00,"0 - 5",µg/l,,I-Group
Mn,Manganese,.00,"0 - 3",µg/l,,I-Group
I,Iodine,11.00,"30 - 90",µg/l,yellow,I-Group
Cr,Chromium,.00,0,µg/l,,Fe-Group
Co,Cobalt,.00,0,µg/l,,Fe-Group
Fe,Iron,.00,0,µg/l,,Fe-Group
Ba,Barium,14.00,"0 - 10",µg/l,,Ba-Group
Be,Beryllium,.00,0,µg/l,,Ba-Group
Si,Silicon,162.00,"0 - 200",µg/l,,Si-Group
P,Phosphorus,9.00,"6 - 23",µg/l,,Nutrient-Group
PO4,Phosphate,.028,"0.018 - 0.07",mg/l,,Nutrient-Group
Sal,Salinity,35.257,"35 PSU",PSU,,Salinity
